"titulo","texto","autor","fecha","reacciones"
"The Angular Developer Survey","The 2020 Angular Developer Survey ends this week! If you haven’t already, please complete the survey now. It takes only about a minute (82…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Apr 21, 2020A clap icon554A response icon9","{""likes"":0,""comentarios"":0}"
"Version 9.1 of Angular Now Available — TypeScript 3.8, faster builds, and more","We just released Version 9.1 of Angular. This is a minor release of the framework and the CLI that is a drop-in replacement for 9.0…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Mar 25, 2020A clap icon2.4KA response icon16","{""likes"":0,""comentarios"":0}"
"Version 9 of Angular Now Available— Project Ivy has arrived!","The 9.0.0 release of Angular is here! This is a major release that spans the entire platform, including the framework, Angular Material…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Feb 6, 2020A clap icon11.8KA response icon35","{""likes"":0,""comentarios"":0}"
"When your dependencies break your software, wouldn’t you like them to fix it?","In this article we want to share how we at Allianz Global Digital Factory (GDF) use the tooling of Angular to keep our ecosystem in sync…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/2*yZywBLVWsNmhCTBK28OBzg.jpeg"",""nombre"":""""}","Nov 27, 2019A clap icon714A response icon1","{""likes"":0,""comentarios"":0}"
"Building Accessibility in Angular Applications","Accessibility should never be an afterthought! Everyone should be a stakeholder in it; developers, designers, and of course the testers.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*9qjpVtHsuY1FuM93vK9Ihw.jpeg"",""nombre"":""""}","Nov 6, 2019A clap icon748A response icon1","{""likes"":0,""comentarios"":0}"
"Announcing the Capacitor ngAdd Schematic","Today, we at Ionic are happy to share the release of Angular Schematics for Capacitor. Let’s take a look at what Capacitor is and how to…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/2*zGOPlEqPjkOlj-7ff-vQQg.png"",""nombre"":""""}","Oct 24, 2019A clap icon532A response icon4","{""likes"":0,""comentarios"":0}"
"The Angular Team @ AngularConnect 2019","It was our pleasure to attend AngularConnect again this year and to talk to hundreds of amazing engineers.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Oct 17, 2019A clap icon526A response icon1","{""likes"":0,""comentarios"":0}"
"Hack for Good","The Angular and NativeScript teams teamed up to organise Hack For Good — an online hackathon with prizes.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*Uk2Rn0gKNX2MoNQu."",""nombre"":""""}","Oct 14, 2019A clap icon113","{""likes"":0,""comentarios"":0}"
"Perspectives from Contributing to Angular","This past summer I had the privilege of being a part of the Angular Team at Google, where I worked on source code indexers. I developed an…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/2*apjp5WMHRTj5cYc8xHWmpA.jpeg"",""nombre"":""""}","Sep 9, 2019A clap icon637A response icon2","{""likes"":0,""comentarios"":0}"
"Angular Tools for High Performance","This post, contains a list of new tools and practices that can help us build faster Angular apps and monitor their performance over time…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Aug 28, 2019A clap icon2.3KA response icon10","{""likes"":0,""comentarios"":0}"
"Angular Interns Summer 2019","The Angular team believes that people are essential to building great technology, and so we are taking part in Google’s 2019 intern…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Aug 1, 2019A clap icon664A response icon2","{""likes"":0,""comentarios"":0}"
"Prototyping with Angular","Since joining Google a year ago, I’ve been using Angular every day to build realistic, front-end prototypes. I’ve used these prototypes to…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/2*LOvrFbNrif45kntVzOuK-g.jpeg"",""nombre"":""""}","Jun 26, 2019A clap icon1.91KA response icon6","{""likes"":0,""comentarios"":0}"
"Try Bazel’s opt-in preview in Angular CLI","In Google we build all our software with a tool called Bazel. We’ve been using it for the past over 12 years to build projects with any…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Jun 21, 2019A clap icon1.3KA response icon7","{""likes"":0,""comentarios"":0}"
"It’s time for the compatibility opt-in preview of Ivy!","We’re looking for developers willing to give new things a try (with a few rough edges) and who want to share their experiences with us. If…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Jun 7, 2019A clap icon1.2KA response icon2","{""likes"":0,""comentarios"":0}"
"Version 8 of Angular — Smaller bundles, CLI APIs, and alignment with the ecosystem","The 8.0.0 release of Angular is here! This is a major release spanning the entire platform, including the core framework, Angular Material…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","May 28, 2019A clap icon7.4KA response icon27","{""likes"":0,""comentarios"":0}"
"Introducing CLI Builders","In this blog post, we’re going to look at a new API in Angular CLI, which allows you to add CLI features and augment existing ones. We’ll…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*Lwm0vrKOqlvJT6vj.jpg"",""nombre"":""""}","Apr 23, 2019A clap icon1.5KA response icon6","{""likes"":0,""comentarios"":0}"
"Building a transaction service for managing large scale editing experiences","A common challenge developers have to tackle when building applications consuming large data sets, is how to create a maintainable and…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*-nea87aY37h8dlOJPiZQig.jpeg"",""nombre"":""""}","Mar 19, 2019A clap icon1.4KA response icon4","{""likes"":0,""comentarios"":0}"
"A plan for version 8.0 and Ivy","“When will Ivy be ready?” is a question we get asked every week. Here’s an update on how things are going with version 8.0, and our plans…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Feb 8, 2019A clap icon5.7KA response icon18","{""likes"":0,""comentarios"":0}"
"Nebular meets Angular CDK","A short while ago our team released a stable version of Nebular. Nebular is an Angular library that simplifies complex rich UI…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*IcUkTJnEFvnEvKGP"",""nombre"":""""}","Jan 31, 2019A clap icon1.1KA response icon4","{""likes"":0,""comentarios"":0}"
"Angular Console","What is it and why is it valuable for you?","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*EeE4xD7bbH8gs3xqzgqYeA.jpeg"",""nombre"":""""}","Dec 4, 2018A clap icon975A response icon4","{""likes"":0,""comentarios"":0}"
"Version 7 of Angular — CLI Prompts, Virtual Scroll, Drag and Drop and more","The 7.0.0 release of Angular is here! This is a major release spanning the entire platform, including the core framework, Angular Material…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Oct 18, 2018A clap icon18.3KA response icon49","{""likes"":0,""comentarios"":0}"
"Angular Schematics: Unit Testing","Building Schematics can be magical. With very little code you can build large structures that can be replicated over multiple projects. As…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*383BxDvzQjfPvWC2."",""nombre"":""""}","Sep 13, 2018A clap icon893A response icon4","{""likes"":0,""comentarios"":0}"
"Creating a successful meetup at your company","At Tesla, I came up with an idea to hold monthly Web Development meetups where employees could learn from each other and the external…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*M2MbIuZJyorTyg9k8uUc4A.jpeg"",""nombre"":""""}","Sep 7, 2018A clap icon881A response icon14","{""likes"":0,""comentarios"":0}"
"Apps That Work Natively on the Web and Mobile","Today we’re happy to announce an exciting new way to build web and mobile apps with Angular and NativeScript.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*Uk2Rn0gKNX2MoNQu."",""nombre"":""""}","Aug 22, 2018A clap icon4.3KA response icon25","{""likes"":0,""comentarios"":0}"
"2 New Tools to help with AngularJS to Angular Migrations","Awesome new resources and tools to help migrate from AngularJS to Angular","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*BOS5WAPD9ovb9ih8atXxGg.jpeg"",""nombre"":""""}","Aug 14, 2018A clap icon1KA response icon5","{""likes"":0,""comentarios"":0}"
"Google announces Grab and Go program for Chromebooks, powered by Angular","Google announces Grab and Go program for Chromebooks, powered by Angular","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*1_EjsRjH5J7sq4W2FwgglA.jpeg"",""nombre"":""""}","Aug 3, 2018A clap icon451A response icon1","{""likes"":0,""comentarios"":0}"
"What’s New in WebStorm for Angular","The most recent release of Angular adds lots of new features to the CLI that make it easier for you to update and add new features to your…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*DXCCRVRJNr33f3HnX3BHwA.jpeg"",""nombre"":""""}","Jul 30, 2018A clap icon1.1KA response icon2","{""likes"":0,""comentarios"":0}"
"Angular v6.1 Now Available — TypeScript 2.9, Scroll Positioning, and more","Angular version 6.1 has been released. This is a minor release that is a drop-in replacement for 6.0 containing new features and bugfixes.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Jul 25, 2018A clap icon3.3KA response icon13","{""likes"":0,""comentarios"":0}"
"Datepicking Beyond the Gregorian Calendar","In this blog post, I would like to tell you about our work at the Digital Humanities Lab (DHLab) at the University of Basel, Switzerland…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*fdqA0boEXV2Wmj7raEIHmw.jpeg"",""nombre"":""""}","Jul 12, 2018A clap icon301A response icon2","{""likes"":0,""comentarios"":0}"
"Moving Design Beyond Pictures","Quickly create real Angular prototypes without writing code.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*R6XevbHLpB_FtNtxUXC8aA.png"",""nombre"":""""}","Jun 6, 2018A clap icon4.1KA response icon43","{""likes"":0,""comentarios"":0}"
"Version 6 of Angular Now Available","The 6.0.0 release of Angular is here! This is a major release focused less on the underlying framework, and more on the toolchain and on…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","May 3, 2018A clap icon32KA response icon86","{""likes"":0,""comentarios"":0}"
"Trip report from ng-conf 2018","A few of the Angular team members were able to attend and present at ng-conf this year. We owe a huge thank you to the organizers for…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Apr 30, 2018A clap icon1.1KA response icon4","{""likes"":0,""comentarios"":0}"
"Top 3 Things Charter Learned About Reusable Designs and Components","This is a guest post by Geoffrey Cullins, Sr. Director, Portal App Development at Charter Communications.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*dW24gcbOUc4FajxMfi0q5w.jpeg"",""nombre"":""""}","Apr 13, 2018A clap icon633A response icon7","{""likes"":0,""comentarios"":0}"
"Trip report from ngAtlanta: Angular’s Roadmap, Inclusion, and more","Last month I had the opportunity to speak at the ngAtlanta conference where I covered major parts of Angular’s 2018 roadmap and shared what…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*YmVb-s-hiC1uKLlA.jpg"",""nombre"":""""}","Feb 22, 2018A clap icon2KA response icon6","{""likes"":0,""comentarios"":0}"
"Run Angular CLI repos directly in your browser","Github is the source of truth for most Angular demos, examples, prototypes, and “real world” projects. However, downloading & initializing…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/2*2tCYD-st3YiKRlGSrFgj0w.jpeg"",""nombre"":""""}","Feb 9, 2018A clap icon5.7KA response icon31","{""likes"":0,""comentarios"":0}"
"File uploads come to AngularFire","Cloud Storage for Firebase is a serverless way to upload and download binary files straight from the browser. As of today, it’s officially…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*0Ljy2URRXlVZ897pRwRtZQ.jpeg"",""nombre"":""""}","Feb 2, 2018A clap icon2.3KA response icon5","{""likes"":0,""comentarios"":0}"
"Schematics — An Introduction","Schematics is a workflow tool for the modern web; it can apply transforms to your project, such as create a new component, or updating your…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*Lwm0vrKOqlvJT6vj.jpg"",""nombre"":""""}","Jan 31, 2018A clap icon4.8KA response icon43","{""likes"":0,""comentarios"":0}"
"Stable AngularJS and Long Term Support","AngularJS is planning one more significant release, version 1.7, and on July 1, 2018 it will enter a 3 year Long Term Support period.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*H02C2-oYlIgXX0aT."",""nombre"":""""}","Jan 26, 2018A clap icon4.7KA response icon33","{""likes"":0,""comentarios"":0}"
"A Component Dev Kit for Angular","Modern web development is all about components. Angular gives developers a way to define these discrete chunks of UI and then compose them…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*mGN3W66VNh_78HAvI0R5fw.png"",""nombre"":""""}","Jan 23, 2018A clap icon3.6KA response icon10","{""likes"":0,""comentarios"":0}"
"Angular 5.2 Now Available","Angular version 5.2.0 has been released. This is a minor release that is a drop-in replacement for 5.1 containing many bugfixes.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Jan 10, 2018A clap icon3.9KA response icon12","{""likes"":0,""comentarios"":0}"
"Angular Developer Survey 2018","We just launched a short survey! This survey is designed to give you an opportunity to share your experiences, successes, and challenges…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Jan 5, 2018A clap icon1KA response icon9","{""likes"":0,""comentarios"":0}"
"Angular 5.1 & More Now Available","We are pleased to announce version 5.1.0 of Angular. This is a minor release containing several smaller features and bugfixes. We are also…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Dec 6, 2017A clap icon8.3KA response icon26","{""likes"":0,""comentarios"":0}"
"Version 5.0.0 of Angular Now Available","We are pleased to announce version 5.0.0 of Angular, pentagonal-donut. This is a major release containing new features and bugfixes. This…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Nov 1, 2017A clap icon28KA response icon63","{""likes"":0,""comentarios"":0}"
"The Angular Team at AngularMix","Several members of the Angular Team were able to attend AngularMix last week. All of the conferences (including ng-conf and Angular…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Oct 16, 2017A clap icon2.1KA response icon5","{""likes"":0,""comentarios"":0}"
"Improved Querying and Offline Data with AngularFirestore","The Firebase team is launching a brand new a fully-managed NoSQL document database: Cloud Firestore, and we’re happy to announce full…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*0Ljy2URRXlVZ897pRwRtZQ.jpeg"",""nombre"":""""}","Oct 3, 2017A clap icon1.96KA response icon9","{""likes"":0,""comentarios"":0}"
"3 Tips for Angular Runtime Performance from the Real World","Co-authored by Andrew Wiens","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*BY0U-PzLU7jVHl4G."",""nombre"":""""}","Oct 2, 2017A clap icon3.2KA response icon12","{""likes"":0,""comentarios"":0}"
"The Past, Present, and Future of the Angular CLI","The Angular CLI is a command-line interface for building Angular applications, and over the last year it has become one of the most…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Sep 20, 2017A clap icon4.6KA response icon28","{""likes"":0,""comentarios"":0}"
"Taking Advantage of the Angular Material Datepicker","The datepicker is one of the newest components in Angular Material (added in May 2017). Our goal in creating the Angular Material…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*WgvQqqTBK_oTlTkIo8tsRQ.jpeg"",""nombre"":""""}","Aug 11, 2017A clap icon1.2KA response icon14","{""likes"":0,""comentarios"":0}"
"The State of CSS in Angular","Styling applications is a critical part of delivering great experiences for users. Across the web we have Cascading Style Sheets (CSS) as a…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Aug 2, 2017A clap icon1.7KA response icon13","{""likes"":0,""comentarios"":0}"
"An Upgrade Path to Angular at Thomson Reuters","Stephen Fluin: This is a guest post from David Owen, who is a leader of front-end strategy at Thomson Reuters","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*Ie4hAWrNxZs7N_wjBlqOEw.jpeg"",""nombre"":""""}","Jul 31, 2017A clap icon311A response icon3","{""likes"":0,""comentarios"":0}"
"Announcing NgRx 4","Rob Wormald: This is a guest post from Victor Savkin of the NgRx core team. NgRx is suite of libraries that empower Angular developers to…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*tt0Xl65GxVxKWWLM.png"",""nombre"":""""}","Jul 18, 2017A clap icon1KA response icon3","{""likes"":0,""comentarios"":0}"
"Angular 4.3 Now Available","Angular version 4.3 has been released. This is a minor release following our announced adoption of Semantic Versioning, meaning that it…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*y_L34o3bW0QELQm1KOFMTw.jpeg"",""nombre"":""""}","Jul 18, 2017A clap icon420A response icon10","{""likes"":0,""comentarios"":0}"
